ID,Name,Rating,Review_Count,Address,Phone,Latitude,Longitude,Price
EWhqq-gJktFyGKtouMQ8gw,Home,4.5,78,"455 Grant Ave San Francisco, CA 94108",+14157805423,37.79129,-122.40589,$
gk6DkRAjbVIIRq90zA6t3Q,BOAVIDA,4.5,21,"3560 Taraval St San Francisco, CA 94116",+14157026262,37.741965,-122.504468,$$
qZK7-7t-tK_Fc1CfcNZgqg,Snowbird Coffee,4.0,276,"1352 A 9th Ave San Francisco, CA 94122",+14155737740,37.76308,-122.46591,$
DaOQgNk4LjN2gbvYrLQGvA,Rise & Grind Coffee and Tea,4.5,278,"785 8th Ave San Francisco, CA 94118",+14157801579,37.7737156,-122.4660674,$
-NbDKVqG170J19MqSQ5q_A,The Mill,4.0,1124,"736 Divisadero St San Francisco, CA 94117",+14153451953,37.7764801534107,-122.437750024358,$$
t0MUKjSjCaQeXHTGQlfosg,Home,4.5,1099,"1222 Noriega St San Francisco, CA 94122",+14157420038,37.7544539255473,-122.477013878524,$
O3P-53iS1YK63-0-ek9Ksw,Hollow,4.0,602,"1435 Irving St San Francisco, CA 94122",+14152424119,37.7635812,-122.4734309,$
jdtLZsekui2VR9Xk_0aK1w,Wrecking Ball Coffee Roasters,4.0,275,"2271 Union St San Francisco, CA 94123",+14156389227,37.796753,-122.436631,$$
E8RJkjfdcwgtyoPMjQ_Olg,Four Barrel Coffee,4.0,2083,"375 Valencia St San Francisco, CA 94103",+14158964289,37.7670169511878,-122.42184275,$
Bsz2u4raa8xNolhl3PDV2Q,Home,4.5,591,"2018 Clement St San Francisco, CA 94121",+14157029244,37.782323,-122.480993,$$
IoPgRTk7Cs3ydeM5R2NRZA,Andytown Coffee Roasters,4.5,812,"3655 Lawton St San Francisco, CA 94122",+14157539775,37.756805,-122.502283,$
Lz4OaRhnZM3IdMmbMFIGeQ,Soul Grind Coffee Roasters,4.0,149,"5400 Pacific Coast Hwy Pacifica, CA 94044",+16508988660,37.595136,-122.505998,$$
lL-3T2fZIP_oCYC-uc074w,Flywheel Coffee Roasters,4.0,452,"672 Stanyan St San Francisco, CA 94117",+14156824023,37.7697,-122.45332,$
b-ylC7pGKuh4yw6l1Q1k9g,Golden Bear Trading Company,4.5,1198,"1401 6th Ave San Francisco, CA 94122",+14156645574,37.7621609,-122.463128,$$
VD527WwvrhE3Nhzf5vaMNw,Sightglass Coffee,4.0,1836,"270 Seventh St San Francisco, CA 94103",+14158611313,37.7768998,-122.4086371,$$
OZp55t0eesDBONb5_GdIDA,Native Twins Coffee,5.0,74,"262 Divisadero St San Francisco, CA 94117",+14158749110,37.7714729528423,-122.436936024427,$$
CGFY7HLfDXUIndEJdh3IwA,Rawr Coffee Bar,4.5,27,"2869 Broadway Oakland, CA 94612",+15107017297,37.8171298,-122.2634582,$$
FaT8F0_7su4exwvKJ8ULPw,Réveille Coffee Co.,4.0,415,"4076 18th St San Francisco, CA 94114",+14157896258,37.7610599441666,-122.434422304778,$
24ym9XJUS2i9JlSFEJeZ2w,The Coffee Movement,5.0,124,"1030 Washington St San Francisco, CA 94108",+15108284933,37.79483,-122.4103,$$
CgiF5i-llufbSc6Mz5mW7Q,Ballast Coffee,4.5,107,"329 W Portal Ave San Francisco, CA 94127",,37.73741,-122.46925,$
UbGRVNM4PDIwYge7lzlPqQ,Philz Coffee,4.0,955,"2248 Westborough Blvd Ste 306 South San Francisco, CA 94080",+16508292435,37.6437427,-122.4526582,$
uJQxl8-pdjReMf7zd-wr5w,Cafe Josephine,5.0,12,"199 Museum Way San Francisco, CA 94114",+14153508976,37.76417,-122.43865,N/A
nWYMTPZ1ss-tGOWQHmB0gw,Sightglass Coffee,4.0,106,"301 Divisadero St San Francisco, CA 94117",+14155220112,37.772323,-122.437509,$$
7zdRSvbg9zbp5tV9Y_-glQ,Blue Danube Coffee House,4.0,741,"306 Clement St San Francisco, CA 94118",+14152219041,37.78323,-122.46251,$$
AsmIi9jXkb9ACliVB4Fp9w,Saint Frank Coffee,4.5,668,"2340 Polk St San Francisco, CA 94109",+14158818062,37.798473,-122.422026,$
miIKCMAqgkyb6B_87av_yA,Dead Eye Coffee Bar,5.0,159,"415 Grand Ave Ste 100 South San Francisco, CA 94080",+16507416619,37.6556420306838,-122.412957339738,$
XEC1J2KhXKP02VbXXCzU4w,Firehouse Coffee & Tea,5.0,202,"317 Johnson St Sausalito, CA 94965",+14157299159,37.85853,-122.48396,$
19FlLhyqgZLc5nXzsARvDQ,Neighbor's Corner,5.0,79,"499 Douglass St San Francisco, CA 94114",+14159930499,37.7555695675718,-122.438793493909,$$
aF682DEnmO6TBQdLb_dHwg,Folklores Coffee Traders,4.5,109,"1035 Fillmore St San Francisco, CA 94115",+14156587622,37.7788831,-122.4319671,$
6U1RGouO2I05SVfwIqbZmA,The Richfield,4.5,156,"195 5th Ave San Francisco, CA 94118",,37.7849655151367,-122.463768005371,$
A2Bpbf-6k_Sv63Lp42LUJA,Fifty / Fifty Coffee and Tea,4.0,437,"3157 Geary Blvd San Francisco, CA 94118",+14156848886,37.7814293,-122.4529495,$
wsPDEO08w_lH0x123_YEXg,Philz Coffee,4.5,1052,"549 Castro St San Francisco, CA 94114",+14158759656,37.7601254,-122.4348964,$
Xc_ZRIqAbNfUb2m54xnRoA,Jane on Fillmore,4.0,993,"2123 Fillmore St San Francisco, CA 94115",+14159315263,37.78934,-122.43423,$$
mSvf8NXTM-RlQ_XCAdd0WQ,Andytown Coffee Roasters,4.5,132,"3629 Taraval San Francisco, CA 94116",+14157539775,37.7415,-122.50513,$$
VOoHZDC-dgDUzTSsmgESOQ,Ritual Coffee Roasters,3.5,1905,"1026 Valencia St San Francisco, CA 94110",+14156411011,37.75642,-122.42137,$$
cORp0lwd6Gq6AQ692gjTcw,Philz Coffee,4.0,165,"1110 Ocean Ave San Francisco, CA 94112",+14158411178,37.7235427,-122.4537285,$$
5hGdrv-6iKWTLty3kugopw,Chalos,4.5,202,"2240 Taraval St San Francisco, CA 94116",+14155627752,37.74265,-122.49031,$$
-QEjSB6qySHp5LOm333IpQ,Weaver's Coffee & Tea,4.5,108,"2301 Market St San Francisco, CA 94114",+14154004372,37.7636299133301,-122.433311462402,$
BrGq6WWjVNM8h44KPKl0Xw,Andytown Coffee Roasters,4.5,52,"181 Fremont St Fl 7 San Francisco, CA 94105",+14157539775,37.7898,-122.39532,N/A
XevaLlh2NitjZsFb6HoVmQ,Pinhole Coffee,4.5,184,"231 Cortland Ave San Francisco, CA 94110",+14153648257,37.7396699,-122.41894,$
w3mpnxz64nU8VwHDLz3S6g,Breadbelly,4.5,176,"1408 Clement St San Francisco, CA 94118",+14153490969,37.78275,-122.47439,$$
cnjPZ4eI2lHTHIPlbHk9HQ,Philz Coffee,4.5,308,"4298 24th St San Francisco, CA 94114",+14158171510,37.751149640212,-122.43838046048,$$
n3Bwfjcugs6z4eL6Pmao7g,Ritual Coffee Roasters,4.0,36,"2299 Market St Ste A San Francisco, CA 94114",+14154005036,37.76405,-122.43276,$
pDUpsLSoSw08aREqgGjABg,Wooden Coffeehouse,4.0,84,"862 Cole St San Francisco, CA 94117",+14157424887,37.7660025,-122.4498382,$$
lNbKeOfCMTNkoihZHqrbrg,Blue Bottle Coffee,4.0,2222,"66 Mint St San Francisco, CA 94103",+15106533394,37.7824664727379,-122.407753326389,$$
KRDQab-AjHP66pcbkbc5qQ,CoffeeShop,4.5,344,"3139 Mission St San Francisco, CA 94110",+14153683802,37.747,-122.41865,$$
IY-AC3eWtA0we9WGYn7kyg,Equator Coffees,4.5,223,"244 Shoreline Hwy Mill Valley, CA 94941",+14152093733,37.881657,-122.52445,$
pUlIfRX4ghxYvFUmCzVO9g,Blue House Café,4.5,45,"302 Randolph St San Francisco, CA 94132",+14156194858,37.71449,-122.46557,$
